date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:35:50	90696/90696	---M-Z	200	added ('OK')	text/html	etag:%224ca5458-16248-55efd7721e480-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html	bootstraplovers.com/assan-v3.6/classic-template/html/index.html	(from )
13:35:50	857/857	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	date:Mon,%2011%20Dec%202017%2006:35:41%20GMT	http://bootstraplovers.com/robots.txt		(from )
13:35:51	29789/29789	---M--	200	added ('OK')	text/css	etag:%224ca54bc-745d-548aeca3c1d80%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/revolution/css/settings.css	bootstraplovers.com/assan-v3.6/classic-template/html/revolution/css/settings.css	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:35:56	299996/299996	---M--	200	added ('OK')	text/css	etag:%224ca5311-493dc-55d54f3e41380%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/css/plugins/plugins.css	bootstraplovers.com/assan-v3.6/classic-template/html/css/plugins/plugins.css	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:35:56	146597/146597	---M--	200	added ('OK')	text/css	etag:%224ca54aa-23ca5-5360b2e7c6e00%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/revolution/css/layers.css	bootstraplovers.com/assan-v3.6/classic-template/html/revolution/css/layers.css	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:35:57	59576/59576	---M--	200	added ('OK')	text/css	etag:%224ca54b9-e8b8-53fa151e80d00%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/revolution/css/navigation.css	bootstraplovers.com/assan-v3.6/classic-template/html/revolution/css/navigation.css	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:01	83746/83746	---M--	200	added ('OK')	text/css	etag:%224ca531a-14722-55658cdf43e00%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/cubeportfolio/css/cubeportfolio.min.css	bootstraplovers.com/assan-v3.6/classic-template/html/cubeportfolio/css/cubeportfolio.min.css	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:01	98613/98613	---M--	200	added ('OK')	text/css	etag:%224ca5318-18135-55efe750c5580%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/css/style.css	bootstraplovers.com/assan-v3.6/classic-template/html/css/style.css	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:06	1736/1736	---M--	200	added ('OK')	image/png	etag:%224ca53ef-6c8-55d2f104ed080%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/images/logo.png	bootstraplovers.com/assan-v3.6/classic-template/html/images/logo.png	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:06	1567/1567	---M--	200	added ('OK')	image/png	etag:%224ca53ec-61f-55d2f10e76700%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/images/logo-light.png	bootstraplovers.com/assan-v3.6/classic-template/html/images/logo-light.png	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:07	70966/70966	---M-Z	200	added ('OK')	text/html	etag:%224ca5454-11536-55d6b62ade280-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/index-02.html	bootstraplovers.com/assan-v3.6/classic-template/html/index-02.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:08	64051/64051	---M-Z	200	added ('OK')	text/html	etag:%224ca5455-fa33-55d7c07199c00-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/index-03.html	bootstraplovers.com/assan-v3.6/classic-template/html/index-03.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:08	61608/61608	---M-Z	200	added ('OK')	text/html	etag:%224ca5456-f0a8-55d7c377fbf00-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/index-04.html	bootstraplovers.com/assan-v3.6/classic-template/html/index-04.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:08	47201/47201	---M-Z	200	added ('OK')	text/html	etag:%224ca5457-b861-55d7c41fd4b00-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/index-05.html	bootstraplovers.com/assan-v3.6/classic-template/html/index-05.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:09	21156/21156	---M-Z	200	added ('OK')	text/html	etag:%224ca530e-52a4-55a6e18a62f80-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/classic-onepage-resume-cv.html	bootstraplovers.com/assan-v3.6/classic-template/html/classic-onepage-resume-cv.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:09	22731/22731	---M-Z	200	added ('OK')	text/html	etag:%224ca530c-58cb-55ad9a2020e00-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/classic-onepage-personal.html	bootstraplovers.com/assan-v3.6/classic-template/html/classic-onepage-personal.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:09	55862/55862	---M-Z	200	added ('OK')	text/html	etag:%224ca530b-da36-55b355b04f880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/classic-onepage-events.html	bootstraplovers.com/assan-v3.6/classic-template/html/classic-onepage-events.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:10	79506/79506	---M-Z	200	added ('OK')	text/html	etag:%224ca530d-13692-55b74f519dc80-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/classic-onepage-restaurant.html	bootstraplovers.com/assan-v3.6/classic-template/html/classic-onepage-restaurant.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:10	77801/77801	---M-Z	200	added ('OK')	text/html	etag:%224ca56eb-12fe9-55d6b3f27a580-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/shop-home.html	bootstraplovers.com/assan-v3.6/classic-template/html/shop-home.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:11	48668/48668	---M-Z	200	added ('OK')	text/html	etag:%224ca56ea-be1c-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/shop-full.html	bootstraplovers.com/assan-v3.6/classic-template/html/shop-full.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:11	52753/52753	---M-Z	200	added ('OK')	text/html	etag:%224ca56ed-ce11-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/shop-sidebar.html	bootstraplovers.com/assan-v3.6/classic-template/html/shop-sidebar.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:11	61005/61005	---M-Z	200	added ('OK')	text/html	etag:%224ca56ec-ee4d-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/shop-item.html	bootstraplovers.com/assan-v3.6/classic-template/html/shop-item.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:12	48823/48823	---M-Z	200	added ('OK')	text/html	etag:%224ca56e8-beb7-55d6cff9ec680-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/shop-cart.html	bootstraplovers.com/assan-v3.6/classic-template/html/shop-cart.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:12	76537/76537	---M-Z	200	added ('OK')	text/html	etag:%224ca56e9-12af9-55d6cff9ec680-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/shop-checkout.html	bootstraplovers.com/assan-v3.6/classic-template/html/shop-checkout.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:13	50629/50629	---M-Z	200	added ('OK')	text/html	etag:%224ca5477-c5c5-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/page-about.html	bootstraplovers.com/assan-v3.6/classic-template/html/page-about.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:13	51615/51615	---M-Z	200	added ('OK')	text/html	etag:%224ca5476-c99f-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/page-about-alt.html	bootstraplovers.com/assan-v3.6/classic-template/html/page-about-alt.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:13	64305/64305	---M-Z	200	added ('OK')	text/html	etag:%224ca548f-fb31-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/page-team.html	bootstraplovers.com/assan-v3.6/classic-template/html/page-team.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:14	72207/72207	---M--	200	added ('OK')	image/jpeg	etag:%224ca5438-11a0f-553765a6ea400%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/images/shop/p1.jpg	bootstraplovers.com/assan-v3.6/classic-template/html/images/shop/p1.jpg	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:14	45855/45855	---M-Z	200	added ('OK')	text/html	etag:%224ca548d-b31f-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/page-services.html	bootstraplovers.com/assan-v3.6/classic-template/html/page-services.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:14	43000/43000	---M-Z	200	added ('OK')	text/html	etag:%224ca548c-a7f8-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/page-service-alt.html	bootstraplovers.com/assan-v3.6/classic-template/html/page-service-alt.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
13:36:15	41202/41202	---M-Z	200	added ('OK')	text/html	etag:%224ca547f-a0f2-55a4439969880-gzip%22	http://bootstraplovers.com/assan-v3.6/classic-template/html/page-contact-basic.html	bootstraplovers.com/assan-v3.6/classic-template/html/page-contact-basic.html	(from http://bootstraplovers.com/assan-v3.6/classic-template/html/index.html)
